wpURL,wikipediaPageID,name,pageCreation,wikidataID,name2
https://en.wikipedia.org/wiki/Andrew_Hoy,915494,Andrew Hoy,2004-08-20,Q137362,Andrew Hoy
https://en.wikipedia.org/wiki/Zali_Steggall,3342463,Zali Steggall,2005-12-06,Q145103,Zali Steggall
https://en.wikipedia.org/wiki/Stuart_O'Grady,931404,Stuart O'Grady,2004-08-26,Q145469,Stuart O'Grady
https://en.wikipedia.org/wiki/Mark_Schwarzer,1851509,Mark Schwarzer,2005-05-07,Q159057,Mark Schwarzer
https://en.wikipedia.org/wiki/Ross_Edwards_(composer),4963057,Ross Edwards (composer),2006-05-01,Q163122,Ross Edwards
https://en.wikipedia.org/wiki/Brian_Greig,967350,Brian Greig,2004-09-08,Q166157,Brian Greig
https://en.wikipedia.org/wiki/Geoffrey_Rush,171515,Geoffrey Rush,2003-01-20,Q166272,Geoffrey Rush
https://en.wikipedia.org/wiki/Betty_Cuthbert,70740,Betty Cuthbert,2002-08-12,Q166534,Betty Cuthbert
https://en.wikipedia.org/wiki/Tunku_Abdul_Rahman,364275,Tunku Abdul Rahman,2003-11-12,Q296317,Tunku Abdul Rahman
https://en.wikipedia.org/wiki/Paul_Hogan,693780,Paul Hogan,2004-05-31,Q296641,Paul Hogan
https://en.wikipedia.org/wiki/Thomas_Keneally,64454,Thomas Keneally,2002-07-25,Q298334,Thomas Keneally
https://en.wikipedia.org/wiki/Heather_Mitchell,4725971,Heather Mitchell,2006-04-12,Q299557,Heather Mitchell
https://en.wikipedia.org/wiki/Kim_Beazley,322538,Kim Beazley,2003-09-20,Q304561,Kim Beazley
https://en.wikipedia.org/wiki/Frank_Moorhouse,2048606,Frank Moorhouse,2005-06-15,Q305402,Frank Moorhouse
https://en.wikipedia.org/wiki/Peter_C._Doherty,1157592,Peter C. Doherty,2004-11-11,Q309814,Peter C. Doherty
https://en.wikipedia.org/wiki/Morris_West,341506,Morris West,2003-10-15,Q471021,Morris West
https://en.wikipedia.org/wiki/Geoff_Hunt,3592587,Geoff Hunt,2006-01-02,Q471139,Geoff Hunt
https://en.wikipedia.org/wiki/Herb_Elliott,409149,Herb Elliott,2003-12-20,Q472503,Herb Elliott
https://en.wikipedia.org/wiki/Peter_Arnison,4353301,Peter Arnison,2006-03-11,Q472596,Peter Arnison
https://en.wikipedia.org/wiki/Ricky_Ponting,462001,Ricky Ponting,2004-02-09,Q472649,Ricky Ponting
https://en.wikipedia.org/wiki/Shoichiro_Toyoda,20856311,Shoichiro Toyoda,2007-05-17,Q478765,Shōichirō Toyoda
https://en.wikipedia.org/wiki/Ben_Gascoigne,27255201,Ben Gascoigne,2010-05-06,Q492476,Ben Gascoigne
https://en.wikipedia.org/wiki/Paul_Scully-Power,502328,Paul Scully-Power,2004-03-03,Q493699,Paul Scully-Power
https://en.wikipedia.org/wiki/Park_Tae-joon,35203919,Park Tae-joon,2012-03-24,Q494662,Park Tae-joon
https://en.wikipedia.org/wiki/Michael_Mullen,2256905,Michael Mullen,2005-07-18,Q503161,Michael Mullen
https://en.wikipedia.org/wiki/Edward_Cassidy,6078877,Edward Cassidy,2006-07-23,Q503324,Edward Cassidy
