id,label,url,description,matchText,PossibleAlias,wikiDataMatch,wikiAusMatch
Q95969402,John Brew,//www.wikidata.org/wiki/Q95969402,Australian businessman,John Richard Brew,John Richard Brew,Y,Y
Q43498974,Kaye Basford,//www.wikidata.org/wiki/Q43498974,Australian biometrician,Kaye Enid Basford,Kaye Enid Basford,Y,Y
Q61809995,Marcello Costa,//www.wikidata.org/wiki/Q61809995,"Italian-born Australian medical doctor, research academic, and public health advocate",Marcello Costa,NA,Y,Y
Q96115329,Suzanne Crowe,//www.wikidata.org/wiki/Q96115329,Australian physician-scientist,Suzanne Mary Crowe,Suzanne Mary Crowe,Y,Y
Q42947998,Georgina V. Long,//www.wikidata.org/wiki/Q42947998,melanoma oncologist and researcher,Georgina Venetia Long,Georgina Venetia Long,Y,Y
Q38523203,Ranjeny Thomas,//www.wikidata.org/wiki/Q38523203,Australian rheumatologist and researcher,Ranjeny Thomas,NA,Y,Y
Q40391308,Ingrid Winship,//www.wikidata.org/wiki/Q40391308,clinical geneticist and medical researcher,Ingrid Margaret Winship,Ingrid Margaret Winship,Y,Y
Q41789383,Robert C Baxter,//www.wikidata.org/wiki/Q41789383,researcher,Robert Charles Baxter,Robert Charles Baxter,Y,Y
Q37375476,Sarah E. Medland,//www.wikidata.org/wiki/Q37375476,researcher,Sarah Elizabeth Medland,Sarah Elizabeth Medland,Y,Y
Q92167032,Kim Oates,//www.wikidata.org/wiki/Q92167032,Australian paediatrician and medical researcher,Ronald Kim Oates,Ronald Kim Oates,Y,Y
Q96108764,Katarzyna Dziegielewska,//www.wikidata.org/wiki/Q96108764,Polish-Australian neuroscientist,Katarzyna Magdalena Dziegielewska,Katarzyna Magdalena Dziegielewska,Y,Y
Q44551189,Jennifer Martin,//www.wikidata.org/wiki/Q44551189,Australian researcher,Jennifer Martin,NA,Y,Y
Q91698743,Jennifer Martin,//www.wikidata.org/wiki/Q91698743,researcher (ORCID 0000-0001-7915-3138),Jennifer Martin,NA,Y,Y
Q38803128,Sheena Reilly,//www.wikidata.org/wiki/Q38803128,researcher,Sheena Reilly,NA,Y,Y
Q57551242,paul walker,//www.wikidata.org/wiki/Q57551242,researcher ORCID ID = 0000-0003-4947-7718,paul walker,NA,Y,Y
Q7173367,Peter Conrad,//www.wikidata.org/wiki/Q7173367,"Australian-born academic specialising in English literature, who taught at Christ Church at the University of Oxford",Peter Conrad,NA,Y,Y
Q6262060,John Vogels,//www.wikidata.org/wiki/Q6262060,Australian politician,John Adrian Vogels,John Adrian Vogels,Y,Y
Q5257422,Denis Napthine,//www.wikidata.org/wiki/Q5257422,47th Premier of Victoria,Denis Vincent Napthine,Denis Vincent Napthine,Y,Y
Q3379071,Philip Ruddock,//www.wikidata.org/wiki/Q3379071,Australian politician,Philip Maxwell Ruddock,Philip Maxwell Ruddock,Y,Y
Q4706609,Alan Ferguson,//www.wikidata.org/wiki/Q4706609,Australian politician,Alan Baird Ferguson,Alan Baird Ferguson,Y,Y
Q4974135,Bronwyn Bishop,//www.wikidata.org/wiki/Q4974135,Australian politician and former Speaker of the House,Bronwyn Kathleen Bishop,Bronwyn Kathleen Bishop,Y,Y
Q7823688,Tony Windsor,//www.wikidata.org/wiki/Q7823688,Australian politician,Antony Harold Curties Windsor,Antony Harold Curties Windsor,Y,Y
Q6845925,Mike Baird,//www.wikidata.org/wiki/Q6845925,New South Wales politician and premier,Michael Bruce Baird,Michael Bruce Baird,Y,Y
Q7154532,Paul Zammit,//www.wikidata.org/wiki/Q7154532,Australian politician,Paul John Zammit,Paul John Zammit,Y,Y
Q7047152,Noel Padgham-Purich,//www.wikidata.org/wiki/Q7047152,Australian politician,Cecilia Noel Padgham-Purich,Cecilia Noel Padgham-Purich,Y,Y
Q26704358,Susan Neuhaus,//www.wikidata.org/wiki/Q26704358,General surgeon and surgical oncologist,Susan Josephine Neuhaus,Susan Josephine Neuhaus,Y,Y
Q348577,Tony Abbott,//www.wikidata.org/wiki/Q348577,"Australian politician, 28th Prime Minister of Australia",Tony Abbott,NA,Y,Y
Q6758529,Marcus Westbury,//www.wikidata.org/wiki/Q6758529,Australian festival director,Marcus Westbury,NA,Y,Y
Q17318570,Yvonne Audette,//www.wikidata.org/wiki/Q17318570,artist,Yvonne Audette,NA,Y,Y
Q89697567,Vincent Namatjira,//www.wikidata.org/wiki/Q89697567,Australian Indigenous artist,Vincent Namatjira,NA,Y,Y
Q12859981,Tjunkaya Tapaya,//www.wikidata.org/wiki/Q12859981,Aboriginal Australian artist,Tjunkaya Tapaya,NA,Y,Y
Q6708303,Lyn Breuer,//www.wikidata.org/wiki/Q6708303,Australian politician,Lynette Ruth Breuer,Lynette Ruth Breuer,Y,Y
Q23771328,Belinda Hutchinson,//www.wikidata.org/wiki/Q23771328,"University administrator, businesswoman and philanthropist",Belinda Jane Hutchinson,Belinda Jane Hutchinson,Y,Y
Q7437003,Scott Pape,//www.wikidata.org/wiki/Q7437003,Australian radio personality,Scott Pape,NA,Y,Y
Q96114175,Diane Grady,//www.wikidata.org/wiki/Q96114175,Australian business executive,Diane Jennifer Grady,Diane Jennifer Grady,Y,Y
Q96115463,Christine Christian,//www.wikidata.org/wiki/Q96115463,Australian finance executive,Christine Christian,NA,Y,Y
Q5733241,Herb Wharton,//www.wikidata.org/wiki/Q5733241,Contemporary Indigenous Australian poet and novelist,Herbert Morsley Wharton,Herbert Morsley Wharton,Y,Y
Q6769115,Mark Opitz,//www.wikidata.org/wiki/Q6769115,Australian record producer,Mark Opitz,NA,Y,Y
Q96115842,Denise Goldsworthy,//www.wikidata.org/wiki/Q96115842,Australian business executive,Denise Carol Goldsworthy,Denise Carol Goldsworthy,Y,Y
Q5237397,David McKenzie,//www.wikidata.org/wiki/Q5237397,Australian politician,David Charles McKenzie,David Charles McKenzie,Y,Y
Q91208571,Jaelea Skehan,//www.wikidata.org/wiki/Q91208571,researcher (ORCID 0000-0003-4854-7243),Jaelea Skehan,NA,Y,Y
Q8006012,William Brown,//www.wikidata.org/wiki/Q8006012,Tasmanian politician,William Thomas Brown,William Thomas Brown,Y,Y
Q3289980,Marcia Langton,//www.wikidata.org/wiki/Q3289980,Australian Aboriginal scholar and activist,Marcia Lynne Langton,Marcia Lynne Langton,Y,Y
Q7175005,Peter Johnson,//www.wikidata.org/wiki/Q7175005,"Australian politician, born 1943",Peter Johnson,NA,Y,Y
Q3376673,Peter Johnson,//www.wikidata.org/wiki/Q3376673,Australian rugby union player,Peter Johnson,NA,Y,Y
Q7606009,Stefan Ackerie,//www.wikidata.org/wiki/Q7606009,Australian hairdresser,Stefan Ackerie,NA,Y,Y
