wikidataID,personLabel,personDescription,refurl,orderaus,orderausLabel,honsid,date_awarded,sitelink
Q137362,Andrew Hoy,Australian equestrian,NA,http://www.wikidata.org/entity/Q9682417,Medal of the Order of Australia,887025,1993-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Andrew_Hoy
Q145103,Zali Steggall,Australian politician and alpine skier,https://honours.pmc.gov.au/honours/awards/1134211,http://www.wikidata.org/entity/Q9682417,Medal of the Order of Australia,1134211,2007-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Zali_Steggall
Q145469,Stuart O'Grady,Australian cyclist,NA,http://www.wikidata.org/entity/Q9682417,Medal of the Order of Australia,1058021,2005-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Stuart_O'Grady
Q159057,Mark Schwarzer,Australian soccer player,NA,http://www.wikidata.org/entity/Q9682417,Medal of the Order of Australia,1140123,2009-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Mark_Schwarzer
Q163122,Ross Edwards,Australian composer,https://honours.pmc.gov.au/honours/awards/870100,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,870100,1997-06-09T00:00:00Z,https://en.wikipedia.org/wiki/Ross_Edwards_(composer)
Q166157,Brian Greig,Australian politician,https://honours.pmc.gov.au/honours/awards/1144440,http://www.wikidata.org/entity/Q9682417,Medal of the Order of Australia,1144440,2011-06-13T00:00:00Z,https://en.wikipedia.org/wiki/Brian_Greig
Q166272,Geoffrey Rush,Australian actor and film producer,NA,http://www.wikidata.org/entity/Q9680541,Companion of the Order of Australia,1148818,2014-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Geoffrey_Rush
Q166534,Betty Cuthbert,Australian sprinter,https://honours.pmc.gov.au/honours/awards/886314,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,886314,1984-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Betty_Cuthbert
Q166534,Betty Cuthbert,Australian sprinter,https://honours.pmc.gov.au/honours/awards/2000838,http://www.wikidata.org/entity/Q9680541,Companion of the Order of Australia,2000838,2018-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Betty_Cuthbert
Q296317,Tunku Abdul Rahman,former Prime Minister of Malaysia (1903-1990),https://honours.pmc.gov.au/honours/awards/882089,http://www.wikidata.org/entity/Q15280138,Honorary Companion of the Order of Australia,882089,1987-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Tunku_Abdul_Rahman
Q296641,Paul Hogan,Australian actor,https://honours.pmc.gov.au/honours/awards/887635,http://www.wikidata.org/entity/Q9678710,Member of the Order of Australia,887635,1986-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Paul_Hogan
Q298334,Thomas Keneally,Australian novelist,https://honours.pmc.gov.au/honours/awards/869812,http://www.wikidata.org/entity/Q9684829,Officer of the Order of Australia,869812,1983-06-13T00:00:00Z,https://en.wikipedia.org/wiki/Thomas_Keneally
