shortName,wpURL,wpID,wdID,WPPageCreate
john brew,https://en.wikipedia.org/wiki/John_Brew,64127864,Q95969402,2020-05-31
kaye basford,https://en.wikipedia.org/wiki/Kaye_Basford,55873688,Q43498974,2017-11-24
marcello costa,https://en.wikipedia.org/wiki/Marcello_Costa,56721077,Q61809995,2018-03-01
georgina long,https://en.wikipedia.org/wiki/Georgina_Long,61750822,Q42947998,2019-09-11
sarah medland,https://en.wikipedia.org/wiki/Sarah_Medland,61396168,Q37375476,2019-07-30
john vogels,https://en.wikipedia.org/wiki/John_Vogels,22295425,Q6262060,2009-04-05
denis napthine,https://en.wikipedia.org/wiki/Denis_Napthine,939759,Q5257422,2004-08-29
philip ruddock,https://en.wikipedia.org/wiki/Philip_Ruddock,30897527,Q3379071,2003-05-20
alan ferguson,https://en.wikipedia.org/wiki/Alan_Ferguson,2148246,Q4706609,2005-07-01
bronwyn bishop,https://en.wikipedia.org/wiki/Bronwyn_Bishop,559138,Q4974135,2004-03-28
tony windsor,https://en.wikipedia.org/wiki/Tony_Windsor,559483,Q7823688,2004-03-28
mike baird,https://en.wikipedia.org/wiki/Mike_Baird,10383399,Q6845925,2007-03-31
paul zammit,https://en.wikipedia.org/wiki/Paul_Zammit,10298305,Q7154532,2007-03-27
noel padgham-purich,https://en.wikipedia.org/wiki/Noel_Padgham-Purich,29417261,Q7047152,NA
susan neuhaus,https://en.wikipedia.org/wiki/Susan_Neuhaus,51356685,Q26704358,2016-08-16
tony abbott,https://en.wikipedia.org/wiki/Tony_Abbott,556739,Q348577,2004-03-27
marcus westbury,https://en.wikipedia.org/wiki/Marcus_Westbury,5728367,Q6758529,2006-06-27
yvonne audette,https://en.wikipedia.org/wiki/Yvonne_Audette,43227740,Q17318570,2014-07-06
vincent namatjira,https://en.wikipedia.org/wiki/Vincent_Namatjira,61675614,Q89697567,2019-09-03
tjunkaya tapaya,https://en.wikipedia.org/wiki/Tjunkaya_Tapaya,51342015,Q12859981,2016-08-16
lyn breuer,https://en.wikipedia.org/wiki/Lyn_Breuer,3719136,Q6708303,2006-01-14
belinda hutchinson,https://en.wikipedia.org/wiki/Belinda_Hutchinson,49821889,Q23771328,2016-03-17
scott pape,https://en.wikipedia.org/wiki/Scott_Pape,18342857,Q7437003,2008-07-08
herb wharton,https://en.wikipedia.org/wiki/Herb_Wharton,5442365,Q5733241,2006-06-06
mark opitz,https://en.wikipedia.org/wiki/Mark_Opitz,17827133,Q6769115,2008-06-07
david mckenzie (victorian politician),https://en.wikipedia.org/wiki/David_McKenzie_(Victorian_politician),18034845,Q5237397,NA
marcia langton,https://en.wikipedia.org/wiki/Marcia_Langton,4237328,Q3289980,2006-03-01
stefan ackerie,https://en.wikipedia.org/wiki/Stefan_Ackerie,7898171,Q7606009,2006-11-12
perry crosswhite,https://en.wikipedia.org/wiki/Perry_Crosswhite,38588604,Q3900084,2013-02-20
perry bartlett,https://en.wikipedia.org/wiki/Perry_Bartlett,64211477,Q56815961,2020-06-08
glenn bourke,https://en.wikipedia.org/wiki/Glenn_Bourke,64349760,Q76841327,2020-06-22
michael clarke (cricketer),https://en.wikipedia.org/wiki/Michael_Clarke_(cricketer),896426,Q1428440,NA
tashi tsering (chenrezig institute),https://en.wikipedia.org/wiki/Tashi_Tsering_(Chenrezig_Institute),9831304,Q7687202,NA
cathy foley,https://en.wikipedia.org/wiki/Cathy_Foley,44700406,Q18686163,2014-12-13
caroline mcmillen,https://en.wikipedia.org/wiki/Caroline_McMillen,59329224,Q59578575,2018-12-09
tamara davis,https://en.wikipedia.org/wiki/Tamara_Davis,5159782,Q23696661,2006-05-15
simon stuart,https://en.wikipedia.org/wiki/Simon_Stuart,64243281,Q96148955,2020-06-11
jonathan mead,https://en.wikipedia.org/wiki/Jonathan_Mead,62483289,Q77093205,2019-12-02
kate lamont,https://en.wikipedia.org/wiki/Kate_Lamont,20720810,Q6375587,2008-12-16
rhondda jones,https://en.wikipedia.org/wiki/Rhondda_Jones,15796061,Q7321393,2008-02-16
simon gipson,https://en.wikipedia.org/wiki/Simon_Gipson,3134390,Q7518847,2005-11-11
aaron kearney,https://en.wikipedia.org/wiki/Aaron_Kearney,35535936,Q4662139,2012-04-18
