wpID,shortName,pageCreation
29417261,Noel PadghamPurich,2010-10-31
18034845,David McKenzie Victorian politician,2008-06-20
896426,Michael Clarke cricketer,2004-08-12
9831304,Tashi Tsering Chenrezig Institute,2007-03-03
46832093,Bruce Chapman Australian economist,2015-05-29
44314974,Linda Richards neuroscientist,2014-11-06
61046585,Michael Davis Australian lawyer,2019-06-15
61005128,David Burke neurophysiologist,2019-06-10
61519638,Debra Jackson nurse,2019-08-15
3632211,Jan Cameron coach,2006-01-06
