wikipediaPageID,name,pageCreation
64127864,John Brew,2020-05-31
55873688,Kaye Basford,2017-11-24
56721077,Marcello Costa,2018-03-01
61750822,Georgina Long,2019-09-11
61396168,Sarah Medland,2019-07-30
22295425,John Vogels,2009-04-05
939759,Denis Napthine,2004-08-29
30897527,Philip Ruddock,2003-05-20
2148246,Alan Ferguson,2005-07-01
559138,Bronwyn Bishop,2004-03-28
559483,Tony Windsor,2004-03-28
10383399,Mike Baird,2007-03-31
10298305,Paul Zammit,2007-03-27
29417261,Noel PadghamPurich,2010-10-31
51356685,Susan Neuhaus,2016-08-16
556739,Tony Abbott,2004-03-27
5728367,Marcus Westbury,2006-06-27
43227740,Yvonne Audette,2014-07-06
61675614,Vincent Namatjira,2019-09-03
51342015,Tjunkaya Tapaya,2016-08-16
3719136,Lyn Breuer,2006-01-14
49821889,Belinda Hutchinson,2016-03-17
18342857,Scott Pape,2008-07-08
5442365,Herb Wharton,2006-06-06
17827133,Mark Opitz,2008-06-07
18034845,David McKenzie Victorian politician,2008-06-20
4237328,Marcia Langton,2006-03-01
7898171,Stefan Ackerie,2006-11-12
38588604,Perry Crosswhite,2013-02-20
64211477,Perry Bartlett,2020-06-08
64349760,Glenn Bourke,2020-06-22
896426,Michael Clarke cricketer,2004-08-12
9831304,Tashi Tsering Chenrezig Institute,2007-03-03
44700406,Cathy Foley,2014-12-13
59329224,Caroline McMillen,2018-12-09
5159782,Tamara Davis,2006-05-15
64243281,Simon Stuart,2020-06-11
62483289,Jonathan Mead,2019-12-02
20720810,Kate Lamont,2008-12-16
15796061,Rhondda Jones,2008-02-16
3134390,Simon Gipson,2005-11-11
35535936,Aaron Kearney,2012-04-18
34902875,Susan Kenny,2012-02-27
58217317,Sean Dorney,2018-08-21
26411307,Jan Sardi,2010-03-03
46832093,Bruce Chapman Australian economist,2015-05-29
17872726,Liz Constable,2008-06-10
41253531,Martin Tenni,2013-12-03
2148237,Alan Eggleston,2005-07-01
35961269,Judyth Watson,2012-05-28
58692342,Alison Harcourt,2018-10-08
34490627,Marita Cheng,2012-01-25
50822579,Maree Smith,2016-06-16
37890988,Michelle Simmons,2012-12-10
43557861,Frances Separovic,2014-08-14
44314974,Linda Richards neuroscientist,2014-11-06
3536249,Leo Radom,2005-12-27
157453,Luc Longley,2002-12-13
7660538,Kate Palmer,2006-10-28
63910206,Adrian David Cheok,2020-05-10
61046585,Michael Davis Australian lawyer,2019-06-15
17157761,Martin Bowles,2008-04-28
61040561,Derek Byerlee,2019-06-14
43591693,Brenda Wilson,2014-08-18
61080151,Lex Doyle,2019-06-19
55751306,Monika Schmidt,2017-11-09
34816044,Annabelle Bennett,2012-02-20
32571730,Reginald Barrett,2011-07-29
40734890,Debra Mullins,2013-10-07
2007218,John Finnis,2005-06-08
15348350,Ruth Bishop,2008-01-21
61023565,Andrew Biankin,2019-06-12
59082740,Alan Cowman,2018-11-17
61005128,David Burke neurophysiologist,2019-06-10
59953737,Jayashri Kulkarni,2019-02-14
53417029,Ruth McNair,2017-03-08
26889908,Rachael Kohn,2010-04-09
10234051,Leigh Sales,2007-03-24
61519638,Debra Jackson nurse,2019-08-15
2271683,Dave Nilsson,2005-07-20
770311,Frank Sedgman,2004-07-01
3632211,Jan Cameron coach,2006-01-06
51027448,Don Tregonning,2016-07-08
26173081,Elizabeth Chong,2010-02-12
3220864,Adrienne Cahalan,2005-11-22
30425076,Dennis Meredith,2011-01-11
11658884,Deborah Lawrie,2007-06-08
380965,Kevin Rudd,2003-11-27
62451416,Jake Ellwood,2019-11-28
36165485,Robert Gillies Australian politician,2012-06-17
26761347,Frank Fisher rugby league,2010-03-30
63257427,Jessica Smith swimmer,2020-03-01
177032,Eric Bana,2003-01-31
60333137,George Mye,2019-03-26
398837,Darren Hayes,2003-12-12
6093316,Carrie Bickmore,2006-07-24
383626,Guy Sebastian,2003-11-30
2921827,David Campbell singer,2005-10-16
302695,Hugh Jackman,2003-08-23
10788984,Meryl Tankard,2007-04-20
2596561,Li Cunxin,2005-09-02
47243779,Cassandra Kelly,2015-07-15
57413196,Kathryn Fagg,2018-05-14
61124932,Nan Bosler,2019-06-24
561386,Margaret Jackson,2004-03-29
60179128,SarahJane Clarke,2019-03-09
1141276,John Tierney Australian politician,2004-11-07
21876,Natasha Stott Despoja,2002-02-25
22357320,John Cornwall South Australian politician,2009-04-10
48106686,John E Scanlon,2015-10-07
62441138,J Bruce Jacobs,2019-11-27
43697005,Josephine Flood,2014-08-30
61041307,Rae Cooper,2019-06-14
10416769,Graeme Turner,2007-04-02
13244813,Peter Rathjen,2007-09-13
48521889,Katherine Belov,2015-11-11
38296801,Faith Thomas,2013-01-22
3665514,Ricky Grace,2006-01-09
47021466,Tilman Ruff,2015-06-19
32292002,Elizabeth North South Australia,2011-07-03
57669978,Marie Porter,2018-06-13
57654104,Virginia Spate,2018-06-11
379756,Tom Gleisner,2003-11-26
7520200,John Goss racing driver,2006-10-19
24951500,Joanne Broadbent,2009-11-03
47052971,Christobel Saunders,2015-06-22
51002773,Rose Amal,2016-07-05
2312304,Kate Grenville,2005-07-26
61939298,Robyn Guymer,2019-10-02
14687057,Jill Bilcock,2007-12-13
41581165,Michael Noonan admiral,2014-01-08
49834103,Paul McLachlan,2016-03-18
12571610,Goff Letts,2007-08-02
60175531,Helen Brownlee,2019-03-08
16993562,John Cuneo sailor,2008-04-18
25161737,Geoffrey Harcourt,2009-11-22
2245109,John Kerin,2005-07-16
28333631,Robert Gottliebsen,2010-08-11
20061855,Philip Brady broadcaster,2006-05-16
634209,Christian Zahra,2004-05-04
30064090,Lee Tarlamis,2010-12-15
33147916,David Walker historian,2011-09-20
4983304,Barbara G Briggs,2006-05-02
26178169,Linda Jackson designer,2009-12-19
56510178,Arman Abrahimzadeh,2018-02-06
40366809,Robert Murray Smith,2013-08-27
50518443,David Smith Western Australian politician,2016-05-12
46410082,Ian Smith lobbyist,2015-04-14
53859896,Deepak Vinayak,2017-04-23
31119431,Joseph Assaf,2011-03-08
379878,Dawn Fraser,2003-11-26
58604104,Dawn Fraser Swimming Pool,2018-09-28
36389606,Anne Wills,2012-07-11
50796390,David Cooper immunologist,2016-06-13
3634727,Kathryn HarbyWilliams,2006-01-06
7800409,John Hatzistergos,2006-11-06
55798984,Phillip Thompson,2016-04-04
17542288,Ronald Eric Johnstone,2008-05-21
55504852,Roberta Shepherd,2017-10-11
61615882,Suzanne Chambers,2019-08-27
57722736,Shurlee Swain,2018-06-20
13609174,Catherine Branson,2007-10-07
25044275,Gillian Aldridge,2009-11-11
2889886,Andrew Murray Australian politician,2005-10-12
10257800,John Sharp Australian politician,2007-03-25
15929020,Noel Kelly rugby league,2008-02-24
