name,wdID
John Brew,Q95969402
Kaye Basford ,Q43498974
Marcello Costa,Q61809995
Suzanne Crowe,Q96115329
Georgina V. Long,Q42947998
Ranjeny Thomas,Q38523203
Ingrid Winship,Q40391308
Robert C Baxter,Q41789383
Sarah E. Medland,Q37375476
Kim Oates,Q92167032
Katarzyna Dziegielewska,Q96108764
Jennifer Martin ,Q44551189
Sheena Reilly,Q38803128
Paul Walker,Q57551242
John Vogels,Q6262060
Denis Napthine ,Q5257422
Philip Ruddock,Q3379071
Alan Ferguson,Q4706609
Bronwyn Bishop,Q4974135
Tony Windsor,Q7823688
Mike Baird ,Q6845925
Paul Zammit,Q7154532
Noel Padgham-Purich ,Q7047152
Susan Neuhaus,Q26704358
Tony Abbott,Q348577
Marcus Westbury,Q6758529
Yvonne Audette,Q17318570
Vincent Namatjira ,Q89697567
Tjunkaya Tapaya ,Q12859981
Lyn Breuer ,Q6708303
Belinda Hutchinson,Q23771328
Scott Pape,Q7437003
Diane Grady,Q96114175
Christine Christian ,Q96115463
Herb Wharton,Q5733241
Mark Opitz,Q6769115
Denise Goldsworthy ,Q96115842
David McKenzie,Q5237397
Jaelea Skehan,Q91208571
Marcia Langton,Q3289980
Stefan Ackerie,Q7606009
Perry Crosswhite,Q3900084
Colin Limpus,Q21338697
Perry Bartlett,Q56815961
Glenn Bourke ,Q76841327
Michael Clarke,Q1428440
Tashi Tsering,Q7687202
Cathy Foley,Q18686163
Caroline McMillen,Q59578575
Tamara Davis,Q23696661
Simon Stuart,Q96148955
Jonathan Mead,Q77093205
Kate Lamont,Q6375587
Rhondda Jones,Q7321393
Jeffrey Lipman,Q53678222
William Stewart Logan,Q10834574
Simon Gipson,Q7518847
Sue Lopez Atkinson,Q96187869
Aaron Kearney,Q4662139
Christine Phillips,Q42636594
Jeanine Young,Q60141411
Susan Kenny ,Q16730730
Sean Dorney,Q56249737
Jan Sardi,Q3161747
Bruce Chapman ,Q20011413
Liz Constable,Q6660082
Martin Tenni,Q16095896
Alan Eggleston ,Q4706579
Brigid Jordan,Q56440911
Winita Hardikar,Q91980063
Lynn Gillam,Q90094726
Judyth Watson ,Q14954682
Brad Norman,Q40115591
Alison Harcourt ,Q57079384
Shi Xue Dou ,Q46851655
Marita Cheng ,Q6765739
Maree Smith,Q24851696
Michelle Simmons,Q16885683
Frances Šeparović,Q18166645
Linda Richards,Q19877853
Leo Radom,Q6524158
Neville Exon,Q57904930
Hala Zreiqat,Q69627764
Peta Ashworth ,Q58418645
Luc Longley,Q705993
Kate Palmer ,Q6375711
Adrian David Cheok,Q4684966
Michael Davis,Q64623642
Martin Bowles,Q6775037
Derek Byerlee,Q64620762
Brenda Wilson,Q18166244
Lex Doyle ,Q37838595
Terence Worthington,Q56060108
Monika Schmidt,Q43378568
Annabelle Bennett ,Q4767710
Reginald Ian Barrett ,Q7308759
Kerry Heysen-Hicks,Q3195505
Debra Mullins,Q16732990
John Finnis,Q3312283
Ruth Bishop,Q5397741
Geoffrey Isbister,Q41669212
Andrew Biankin,Q38802580
Mark von Itzstein,Q40187053
Alan Frederick Cowman,Q21165015
David A. Mackey,Q37373213
Karim M Khan ,Q89722146
Fiona Judd,Q96118745
