"","id","label","url","description","matchText","PossibleAlias","wikiDataMatch"
"1","Q95969402","John Brew","//www.wikidata.org/wiki/Q95969402","Australian businessman","John Richard Brew","John Richard Brew","Y"
"2","Q43498974","Kaye Basford","//www.wikidata.org/wiki/Q43498974","Australian biometrician","Kaye Enid Basford","Kaye Enid Basford","Y"
"3","Q73886895","Marcello Costa","//www.wikidata.org/wiki/Q73886895","researcher","Marcello Costa",NA,"Y"
"4","Q61809995","Marcello Costa","//www.wikidata.org/wiki/Q61809995","Italian-born Australian medical doctor, research academic, and public health advocate","Marcello Costa",NA,"Y"
"5","Q39065152","Marcello Costantini","//www.wikidata.org/wiki/Q39065152","researcher","Marcello Costantini",NA,"Y"
"6","Q461158","Marcello Costalunga","//www.wikidata.org/wiki/Q461158","Roman Catholic archbishop","Marcello Costalunga",NA,"Y"
"7","Q3845558","Marcello Costamezzana","//www.wikidata.org/wiki/Q3845558","Italian politician","Marcello Costamezzana",NA,"Y"
"8","Q96115329","Suzanne Crowe","//www.wikidata.org/wiki/Q96115329","Australian physician-scientist","Suzanne Mary Crowe","Suzanne Mary Crowe","Y"
"9","Q42947998","Georgina V. Long","//www.wikidata.org/wiki/Q42947998","melanoma oncologist and researcher","Georgina Venetia Long","Georgina Venetia Long","Y"
"10","Q38523203","Ranjeny Thomas","//www.wikidata.org/wiki/Q38523203","Australian rheumatologist and researcher","Ranjeny Thomas",NA,"Y"
"11","Q40391308","Ingrid Winship","//www.wikidata.org/wiki/Q40391308","clinical geneticist and medical researcher","Ingrid Margaret Winship","Ingrid Margaret Winship","Y"
"12","Q41789383","Robert C Baxter","//www.wikidata.org/wiki/Q41789383","researcher","Robert Charles Baxter","Robert Charles Baxter","Y"
"13","Q62273469","Patricia Yates","//www.wikidata.org/wiki/Q62273469","candidate in Leeds City Council election","Patricia Yates",NA,"Y"
"14","Q37375476","Sarah E. Medland","//www.wikidata.org/wiki/Q37375476","researcher","Sarah Elizabeth Medland","Sarah Elizabeth Medland","Y"
"15","Q92167032","Kim Oates","//www.wikidata.org/wiki/Q92167032","Australian paediatrician and medical researcher","Ronald Kim Oates","Ronald Kim Oates","Y"
"16","Q96108764","Katarzyna Dziegielewska","//www.wikidata.org/wiki/Q96108764","Polish-Australian neuroscientist","Katarzyna Magdalena Dziegielewska","Katarzyna Magdalena Dziegielewska","Y"
"17","Q65030178","Trevor King","//www.wikidata.org/wiki/Q65030178","British biathlete","Trevor King",NA,"Y"
"18","Q7839260","Trevor King","//www.wikidata.org/wiki/Q7839260","British Ulster loyalist; Ulster Volunteer Force commander","Trevor King",NA,"Y"
"19","Q60374467","Trevor Kingsbury","//www.wikidata.org/wiki/Q60374467","researcher","Trevor Kingsbury",NA,"Y"
"20","Q94557736","Michele Cotton1948-2020","//www.wikidata.org/wiki/Q94557736","scientific article published on 01 May 2020","Michele Cotton1948-2020",NA,"Y"
"21","Q44551189","Jennifer Martin","//www.wikidata.org/wiki/Q44551189","Australian researcher","Jennifer Martin",NA,"Y"
"22","Q6178599","Jennifer Martin","//www.wikidata.org/wiki/Q6178599","American actress","Jennifer Martin",NA,"Y"
"23","Q91698743","Jennifer Martin","//www.wikidata.org/wiki/Q91698743","researcher (ORCID 0000-0001-7915-3138)","Jennifer Martin",NA,"Y"
"24","Q21034732","Jennifer Martin","//www.wikidata.org/wiki/Q21034732","American association football player","Jennifer Martin",NA,"Y"
"25","Q61873164","Jennifer Martinez","//www.wikidata.org/wiki/Q61873164","Medical researcher","Jennifer Martinez",NA,"Y"
"26","Q57321233","Jennifer Martin-Biggers","//www.wikidata.org/wiki/Q57321233","researcher","Jennifer Martin-Biggers",NA,"Y"
"27","Q21028276","Jennifer Martins","//www.wikidata.org/wiki/Q21028276","Canadian rower","Jennifer Martins",NA,"Y"
"28","Q6178598","Jennifer Martínez","//www.wikidata.org/wiki/Q6178598","American legal academic","Jennifer Martínez",NA,"Y"
"29","Q57779111","JENNIFER MARTINEZ-FERRERO","//www.wikidata.org/wiki/Q57779111","Business management professor","JENNIFER MARTINEZ-FERRERO",NA,"Y"
"30","Q76996007","Jennifer S. Martinez","//www.wikidata.org/wiki/Q76996007","Material Scientist","Jennifer Martinez","Jennifer Martinez","Y"
"31","Q38803128","Sheena Reilly","//www.wikidata.org/wiki/Q38803128","researcher","Sheena Reilly",NA,"Y"
"32","Q213864","Paul Walker","//www.wikidata.org/wiki/Q213864","American actor (1973-2013)","Paul Walker",NA,"Y"
"33","Q57551242","paul walker","//www.wikidata.org/wiki/Q57551242","researcher ORCID ID = 0000-0003-4947-7718","paul walker",NA,"Y"
"34","Q93231782","Paul Walker","//www.wikidata.org/wiki/Q93231782",NA,"Paul Walker",NA,"Y"
