value,wd
John Brew,Q95969402
Kaye Basford,Q43498974
Marcello Costa,Q61809995
Georgina Long,Q42947998
Sarah Medland,Q37375476
John Vogels,Q6262060
Denis Napthine,Q5257422
Philip Ruddock,Q3379071
Alan Ferguson,Q4706609
Bronwyn Bishop,Q4974135
Tony Windsor,Q7823688
Mike Baird,Q6845925
Paul Zammit,Q7154532
Noel Padgham-Purich,Q7047152
Susan Neuhaus,Q26704358
Tony Abbott,Q348577
Marcus Westbury,Q6758529
Yvonne Audette,Q17318570
Vincent Namatjira,Q89697567
Tjunkaya Tapaya,Q12859981
Lyn Breuer,Q6708303
Belinda Hutchinson,Q23771328
Scott Pape,Q7437003
Herb Wharton,Q5733241
Mark Opitz,Q6769115
David McKenzie (Victorian politician),Q5237397
Marcia Langton,Q3289980
Stefan Ackerie,Q7606009
Perry Crosswhite,Q3900084
Perry Bartlett,Q56815961
Glenn Bourke,Q76841327
Michael Clarke (cricketer),Q1428440
Tashi Tsering (Chenrezig Institute),Q7687202
Cathy Foley,Q18686163
Caroline McMillen,Q59578575
Tamara Davis,Q23696661
Simon Stuart,Q96148955
Jonathan Mead,Q77093205
Kate Lamont,Q6375587
Rhondda Jones,Q7321393
Simon Gipson,Q7518847
Aaron Kearney,Q4662139
Susan Kenny,Q16730730
Sean Dorney,Q56249737
Jan Sardi,Q3161747
Bruce Chapman (Australian economist),Q20011413
Liz Constable,Q6660082
Martin Tenni,Q16095896
Alan Eggleston,Q4706579
Judyth Watson,Q14954682
Alison Harcourt,Q57079384
Marita Cheng,Q6765739
Maree Smith,Q24851696
Michelle Simmons,Q16885683
Frances Separovic,Q18166645
Linda Richards (neuroscientist),Q19877853
Leo Radom,Q6524158
Luc Longley,Q705993
Kate Palmer,Q6375711
Adrian David Cheok,Q4684966
Michael Davis (Australian lawyer),Q64623642
Martin Bowles,Q6775037
Derek Byerlee,Q64620762
Brenda Wilson,Q18166244
Lex Doyle,Q37838595
Monika Schmidt,Q43378568
Annabelle Bennett,Q4767710
Reginald Barrett,Q7308759
Debra Mullins,Q16732990
John Finnis,Q3312283
Ruth Bishop,Q5397741
Andrew Biankin,Q38802580
Alan Cowman,Q21165015
David Burke (neurophysiologist),Q64518460
Jayashri Kulkarni,Q61741188
Ruth McNair,Q28925005
Rachael Kohn,Q7279079
Leigh Sales,Q6519670
Debra Jackson (nurse),Q39818657
Dave Nilsson,Q3018541
Frank Sedgman,Q962049
Jan Cameron (coach),Q3807042
Don Tregonning,Q25755189
Elizabeth Chong,Q5362577
Adrienne Cahalan,Q4685686
Dennis Meredith,Q5258732
Deborah Lawrie,Q5248305
Kevin Rudd,Q43135
Jake Ellwood,Q76708273
Robert Gillies (Australian politician),Q7344780
Frank Fisher (rugby league),Q5486623
Jessica Smith (swimmer),Q86927470
Eric Bana,Q4440
George Mye,Q52636191
Darren Hayes,Q527055
Carrie Bickmore,Q4086613
Guy Sebastian,Q983452
David Campbell (singer),Q5232113
Hugh Jackman,Q129591
Meryl Tankard,Q6820995
Li Cunxin,Q712579
Cassandra Kelly,Q21932435
Kathryn Fagg,Q53568318
Nan Bosler,Q83100565
Margaret Jackson,Q6759554
Sarah-Jane Clarke,Q62003665
