wdID,personLabel,sitelink
Q137362,Andrew Hoy,https://en.wikipedia.org/wiki/Andrew_Hoy
Q145103,Zali Steggall,https://en.wikipedia.org/wiki/Zali_Steggall
Q145469,Stuart O'Grady,https://en.wikipedia.org/wiki/Stuart_O'Grady
Q159057,Mark Schwarzer,https://en.wikipedia.org/wiki/Mark_Schwarzer
Q163122,Ross Edwards,https://en.wikipedia.org/wiki/Ross_Edwards_(composer)
Q166157,Brian Greig,https://en.wikipedia.org/wiki/Brian_Greig
Q166272,Geoffrey Rush,https://en.wikipedia.org/wiki/Geoffrey_Rush
Q166534,Betty Cuthbert,https://en.wikipedia.org/wiki/Betty_Cuthbert
Q296317,Tunku Abdul Rahman,https://en.wikipedia.org/wiki/Tunku_Abdul_Rahman
Q296641,Paul Hogan,https://en.wikipedia.org/wiki/Paul_Hogan
Q298334,Thomas Keneally,https://en.wikipedia.org/wiki/Thomas_Keneally
Q299557,Heather Mitchell,https://en.wikipedia.org/wiki/Heather_Mitchell
Q304561,Kim Beazley,https://en.wikipedia.org/wiki/Kim_Beazley
Q305402,Frank Moorhouse,https://en.wikipedia.org/wiki/Frank_Moorhouse
Q309814,Peter C. Doherty,https://en.wikipedia.org/wiki/Peter_C._Doherty
Q471021,Morris West,https://en.wikipedia.org/wiki/Morris_West
Q471139,Geoff Hunt,https://en.wikipedia.org/wiki/Geoff_Hunt
Q472503,Herb Elliott,https://en.wikipedia.org/wiki/Herb_Elliott
Q472596,Peter Arnison,https://en.wikipedia.org/wiki/Peter_Arnison
Q472649,Ricky Ponting,https://en.wikipedia.org/wiki/Ricky_Ponting
Q478765,Shōichirō Toyoda,https://en.wikipedia.org/wiki/Shoichiro_Toyoda
Q492476,Ben Gascoigne,https://en.wikipedia.org/wiki/Ben_Gascoigne
Q493699,Paul Scully-Power,https://en.wikipedia.org/wiki/Paul_Scully-Power
Q494662,Park Tae-joon,https://en.wikipedia.org/wiki/Park_Tae-joon
Q503161,Michael Mullen,https://en.wikipedia.org/wiki/Michael_Mullen
Q503324,Edward Cassidy,https://en.wikipedia.org/wiki/Edward_Cassidy
Q504387,James Wolfensohn,https://en.wikipedia.org/wiki/James_Wolfensohn
Q710474,Frank Farina,https://en.wikipedia.org/wiki/Frank_Farina
Q710515,Luke Roberts,https://en.wikipedia.org/wiki/Luke_Roberts
Q710527,Michael Milton,https://en.wikipedia.org/wiki/Michael_Milton_(skier)
Q712208,Ashley Cooper,https://en.wikipedia.org/wiki/Ashley_Cooper_(tennis)
Q712579,Li Cunxin,https://en.wikipedia.org/wiki/Li_Cunxin
Q713195,Elisabeth Murdoch,https://en.wikipedia.org/wiki/Elisabeth_Murdoch_(philanthropist)
Q713954,Jon Stanhope,https://en.wikipedia.org/wiki/Jon_Stanhope
Q714609,Frank Fenner,https://en.wikipedia.org/wiki/Frank_Fenner
Q715173,Neale Fraser,https://en.wikipedia.org/wiki/Neale_Fraser
Q715561,Michael Klim,https://en.wikipedia.org/wiki/Michael_Klim
Q716783,Peter Dawson,https://en.wikipedia.org/wiki/Peter_Dawson_(cyclist)
Q723003,Wayne Gardner,https://en.wikipedia.org/wiki/Wayne_Gardner
Q726401,Todd Pearson,https://en.wikipedia.org/wiki/Todd_Pearson
Q726490,Chris Fydler,https://en.wikipedia.org/wiki/Chris_Fydler
Q727443,Mark Oliphant,https://en.wikipedia.org/wiki/Mark_Oliphant
Q1141740,Eiji Toyoda,https://en.wikipedia.org/wiki/Eiji_Toyoda
Q1143292,Nicole Livingstone,https://en.wikipedia.org/wiki/Nicole_Livingstone
Q1160591,Daniel Hurley,https://en.wikipedia.org/wiki/Eugene_Hurley
Q1173922,David Campese,https://en.wikipedia.org/wiki/David_Campese
Q1174022,Hugh David Stevenson,https://en.wikipedia.org/wiki/David_Stevenson_(admiral)
Q1174097,David Crawshay,https://en.wikipedia.org/wiki/David_Crawshay
Q1174223,David Dicks,https://en.wikipedia.org/wiki/David_Dicks
Q1176396,David Rowbotham,https://en.wikipedia.org/wiki/David_Rowbotham
Q1176824,David Theile,https://en.wikipedia.org/wiki/David_Theile
Q1177366,David de Kretser,https://en.wikipedia.org/wiki/David_de_Kretser
Q1178152,Davis McCaughey,https://en.wikipedia.org/wiki/Davis_McCaughey
Q1189313,Dennis Lillee,https://en.wikipedia.org/wiki/Dennis_Lillee
Q1226759,Neil MacGregor,https://en.wikipedia.org/wiki/Neil_MacGregor
Q81495,Ken Wallace,https://en.wikipedia.org/wiki/Ken_Wallace_(canoeist)
Q82667,Mark Webber,https://en.wikipedia.org/wiki/Mark_Webber
Q83233,Jacques Cousteau,https://en.wikipedia.org/wiki/Jacques_Cousteau
Q83740,Steve Biddulph,https://en.wikipedia.org/wiki/Steve_Biddulph
Q85669,Harry Seidler,https://en.wikipedia.org/wiki/Harry_Seidler
Q101871,Dymphna Cusack,https://en.wikipedia.org/wiki/Dymphna_Cusack
Q105550,Rod Laver,https://en.wikipedia.org/wiki/Rod_Laver
Q110124,Elke Neidhardt,https://en.wikipedia.org/wiki/Elke_Neidhardt
Q112877,Charles K. Bliss,https://en.wikipedia.org/wiki/Charles_K._Bliss
Q116064,Rolf M. Zinkernagel,https://en.wikipedia.org/wiki/Rolf_M._Zinkernagel
