name,gender,wikipedia_page,award_comb,state,first_honours_date,first_honours_year,pre_post_wikipedia,wikipedia_url,wikipedia_page_id,honsid,wp_creation_date,honours_date,wikipedia_creation_year,honours_year,award_name,announcement_event,division,citation,person_description,number_of_honours,new_honours_date,new_honours_year,wp_creation_year,time_diff,year_diff,wikipedia_week,new_honours_week,week_diff,before_after
Aaron Kearney,M,Yes,OAM,NSW,2020-06-07,2020,Post,https://en.wikipedia.org/wiki/Aaron_Kearney,35535936,2007175,2012-04-18,2020-06-07,2012,2020,Medal of the Order of Australia,The Queen's Birthday 2020 Honours List,G,For service to the broadcast media as a radio presenter.,Australian broadcaster and journalist,1,2020-06-07,2020,2012,-2972,-8,2012-W16,2020-W23,-425,before Honours
Abdul Taib Mahmud,M,Yes,AO,Other,2001-12-21,2001,Post,https://en.wikipedia.org/wiki/Abdul_Taib_Mahmud,8703527,1042963,2005-08-27,2001-12-21,2005,2001,Officer of the Order of Australia,NA,HG,For service to Australian-Malaysian bilateral relations.,seventh and current Yang di-Pertua Negeri of Sarawak,1,2001-12-21,2001,2005,1345,4,2005-W34,2001-W51,192,on or after honours
Adam Gilchrist,M,Yes,AM,Other,2010-06-14,2010,Post,https://en.wikipedia.org/wiki/Adam_Gilchrist,896430,1142669,2004-08-13,2010-06-14,2004,2010,Member of the Order of Australia,The Queen's Birthday 2010 Honours List,G,"For service to cricket as a player, and to the community as a supporter of a range of charitable organisations.",Australian cricketer,1,2010-06-14,2010,2004,-2131,-6,2004-W33,2010-W24,-305,before Honours
Adam Pine,M,Yes,OAM,NSW,2001-01-26,2001,Post,https://en.wikipedia.org/wiki/Adam_Pine,5535560,887210,2006-06-13,2001-01-26,2006,2001,Medal of the Order of Australia,Australia Day 2001 Honours List,G,For service to sport as a gold medallist at the Sydney 2000 Olympic Games.,"Australian swimmer, Olympic gold medallist",1,2001-01-26,2001,2006,1964,5,2006-W24,2001-W04,280,on or after honours
Adam Voges,M,Yes,OAM,WA,2020-01-26,2020,Post,https://en.wikipedia.org/wiki/Adam_Voges,3871822,2006030,2006-01-28,2020-01-26,2006,2020,Medal of the Order of Australia,Australia Day 2020 Honours List,G,For service to cricket.,Australian cricketer,1,2020-01-26,2020,2006,-5111,-14,2006-W04,2020-W04,-731,before Honours
Adele Ferguson,F,Yes,AM,VIC,2019-01-26,2019,Post,https://en.wikipedia.org/wiki/Adele_Ferguson,59788339,2003150,2019-01-28,2019-01-26,2019,2019,Member of the Order of Australia,Australia Day 2019 Honours List,G,For significant service to the print and broadcast media as a journalist and business commentator.,Australian journalist,1,2019-01-26,2019,2019,2,0,2019-W05,2019-W04,0,on or after honours
Adele Green,F,Yes,AC,QLD,2004-06-14,2004,Post,https://en.wikipedia.org/wiki/Adele_Green,55314327,1056738,2017-09-23,2004-06-14,2017,2004,Companion of the Order of Australia,The Queen's Birthday 2004 Honours List,NA,"For service to medical research through significant advances made in the field of the epidemiology of skin cancer and ovarian cancer, to public health including improved Indigenous health, and for leadership in the wider scientific community.",Australian epidemiologist,1,2004-06-14,2004,2017,4849,13,2017-W38,2004-W25,692,on or after honours
Adrian David Cheok,M,Yes,AM,SA,2019-06-10,2019,Post,https://en.wikipedia.org/wiki/Adrian_David_Cheok,63910206,2004797,2020-05-10,2019-06-10,2020,2019,Member of the Order of Australia,Queen's Birthday 2019 Honours List,G,For significant service to international education.,"Australian computer scientist, politician, and Professor in Tokyo",1,2019-06-10,2019,2020,335,1,2020-W19,2019-W24,47,on or after honours
Adrian Gibson,M,Yes,OAM,VIC,2014-01-26,2014,Post,https://en.wikipedia.org/wiki/Adrian_Gibson,20130544,1149188,2008-11-09,2014-01-26,2008,2014,Medal of the Order of Australia,Australia Day 2014 Honours List,G,"For service to the arts, to agriculture, and to the Parliament of Australia.",Australian politician,1,2014-01-26,2014,2008,-1904,-6,2008-W45,2014-W04,-272,before Honours
Adrian Grogan,M,Yes,OAM,NSW,2001-01-26,2001,Post,https://en.wikipedia.org/wiki/Adrian_Grogan,33235349,886937,2011-09-28,2001-01-26,2011,2001,Medal of the Order of Australia,Australia Day 2001 Honours List,G,For service to sport as a gold medallist at the Paralympic Games Sydney 2000.,Australian Paralympic athlete,1,2001-01-26,2001,2011,3897,10,2011-W39,2001-W04,556,on or after honours
Adrian King basketball,M,Yes,OAM,QLD,2009-01-26,2009,Post,https://en.wikipedia.org/wiki/Adrian_King_(basketball),33029308,1139999,2011-09-09,2009-01-26,2011,2009,Medal of the Order of Australia,Australia Day 2009 Honours List,G,For service to sport as a Gold Medallist at the Beijing 2008 Paralympic Games.,Australian wheelchair basketball player,1,2009-01-26,2009,2011,956,2,2011-W36,2009-W05,136,on or after honours
Adrian Pagan,M,Yes,AO,VIC,2015-01-26,2015,Post,https://en.wikipedia.org/wiki/Adrian_Pagan,23534175,1150765,2009-07-08,2015-01-26,2009,2015,Officer of the Order of Australia,Australia Day 2015 Honours List,G,"For distinguished service to tertiary education as an academic economist, to the development of public policy research, as an author, and through contributions to professional and financial organisations.",Australian economist,1,2015-01-26,2015,2009,-2028,-6,2009-W28,2015-W05,-290,before Honours
Adrienne Cahalan,F,Yes,OAM,NSW,2019-06-10,2019,Post,https://en.wikipedia.org/wiki/Adrienne_Cahalan,3220864,2004853,2005-11-23,2019-06-10,2005,2019,Medal of the Order of Australia,Queen's Birthday 2019 Honours List,G,For service to sailing.,Australian sailor,1,2019-06-10,2019,2005,-4947,-14,2005-W47,2019-W24,-707,before Honours
Adrienne Smith,F,Yes,OAM,NSW,2008-01-26,2008,Post,https://en.wikipedia.org/wiki/Adrienne_Smith,36251262,1137809,2012-06-26,2008-01-26,2012,2008,Medal of the Order of Australia,Australia Day 2008 Honours List,G,"For service to sports administration, particularly in the area of sport for people with a disability.",Australian sports official,1,2008-01-26,2008,2012,1613,4,2012-W26,2008-W04,230,on or after honours
Ahmed Fahour,M,Yes,AO,VIC,2017-01-26,2017,Post,https://en.wikipedia.org/wiki/Ahmed_Fahour,3758957,1154610,2006-01-18,2017-01-26,2006,2017,Officer of the Order of Australia,Australia Day 2017 Honours List,G,"For distinguished service to business, particularly in the area of postal communications, to the banking and investment sectors, and as a supporter of improved multicultural relations.",Australian businessman,1,2017-01-26,2017,2006,-4026,-11,2006-W03,2017-W04,-576,before Honours
Ainslie Sheil,F,Yes,AM,NSW,2020-06-07,2020,Post,https://en.wikipedia.org/wiki/Ainslie_Sheil,28198097,2006895,2010-07-30,2020-06-07,2010,2020,Member of the Order of Australia,The Queen's Birthday 2020 Honours List,G,"For significant service to people living with arthritis, and to community health groups.",Australian organ transplant surgeon and rugby union player,1,2020-06-07,2020,2010,-3600,-10,2010-W30,2020-W23,-515,before Honours
Ajahn Brahm,M,Yes,AM,WA,2019-06-10,2019,Post,https://en.wikipedia.org/wiki/Ajahn_Brahm,1097896,2004772,2004-10-24,2019-06-10,2004,2019,Member of the Order of Australia,Queen's Birthday 2019 Honours List,G,"For significant service to Buddhism, and to gender equality.",Theravada Buddhist monk,1,2019-06-10,2019,2004,-5342,-15,2004-W43,2019-W24,-764,before Honours
Akio Mimura,M,Yes,AC,Other,2012-06-14,2012,Post,https://en.wikipedia.org/wiki/Akio_Mimura,42256374,1147693,2014-03-21,2012-06-14,2014,2012,Companion of the Order of Australia,Honorary Military Award (not gazetted),HG,For eminent service to strengthening and advancing the Australia-Japan bilateral trade and economic relationship.,Japanese businessman,1,2012-06-14,2012,2014,645,2,2014-W12,2012-W24,92,on or after honours
Alan Bartholomai,M,Yes,AM,QLD,2012-01-26,2012,Post,https://en.wikipedia.org/wiki/Alan_Bartholomai,60288528,1145082,2019-03-21,2012-01-26,2019,2012,Member of the Order of Australia,Australia Day 2012 Honours List,G,"For service to the advancement of science, particularly through administrative roles with the Queensland Museum.",Australian geologist and palaeontologist,1,2012-01-26,2012,2019,2611,7,2019-W12,2012-W04,373,on or after honours
Alan Brown Australian politician,M,Yes,AM,VIC,2018-06-11,2018,Post,https://en.wikipedia.org/wiki/Alan_Brown_(Australian_politician),5929872,2002024,2006-07-12,2018-06-11,2006,2018,Member of the Order of Australia,The Queen's Birthday 2018 Honours List,G,"For significant service to the vocational training and education sector, to philanthropy, and to the people and Parliament of Victoria.",Australian politician,1,2018-06-11,2018,2006,-4352,-12,2006-W28,2018-W24,-622,before Honours
Alan Cadman,M,Yes,OAM,NSW,2009-06-08,2009,Post,https://en.wikipedia.org/wiki/Alan_Cadman,11014885,1141005,2004-03-28,2009-06-08,2004,2009,Medal of the Order of Australia,The Queen's Birthday 2009 Honours List,G,"For service to the Parliament of Australia, and to the community of Mitchell.",Australian politician,1,2009-06-08,2009,2004,-1898,-5,2004-W13,2009-W24,-272,before Honours
Alan Coates,M,Yes,AM,NSW,2002-06-10,2002,Post,https://en.wikipedia.org/wiki/Alan_Coates,46882024,1040473,2015-06-03,2002-06-10,2015,2002,Member of the Order of Australia,The Queen's Birthday 2002 Honours List,NA,"For  service to medicine in the field of oncology, particularly through breast cancer research.",Australian clinical oncologist,1,2002-06-10,2002,2015,4741,13,2015-W23,2002-W24,677,on or after honours
Alan Cowman,M,Yes,AC,VIC,2019-06-10,2019,Post,https://en.wikipedia.org/wiki/Alan_Cowman,59082740,2004628,2018-11-17,2019-06-10,2018,2019,Companion of the Order of Australia,Queen's Birthday 2019 Honours List,G,"For eminent service to the biological sciences, notably to molecular parasitology, to medical research and scientific education, and as a mentor.",Australian Scientist,1,2019-06-10,2019,2018,-205,-1,2018-W46,2019-W24,-30,before Honours
Alan Dupont,M,Yes,AO,NSW,2019-06-10,2019,Post,https://en.wikipedia.org/wiki/Alan_Dupont,25525965,2004526,2009-12-23,2019-06-10,2009,2019,Officer of the Order of Australia,Queen's Birthday 2019 Honours List,G,For distinguished service to the international community through security analysis and strategic policy development.,Australian academic,1,2019-06-10,2019,2009,-3456,-10,2009-W52,2019-W24,-494,before Honours
Alan Ferguson,M,Yes,AM,SA,2020-06-07,2020,Post,https://en.wikipedia.org/wiki/Alan_Ferguson,2148246,2007270,2005-07-01,2020-06-07,2005,2020,Member of the Order of Australia,The Queen's Birthday 2020 Honours List,G,"For significant service to the Parliament of Australia, and to the community of South Australia.",Australian politician,1,2020-06-07,2020,2005,-5455,-15,2005-W26,2020-W23,-780,before Honours
Alan Finkel,M,Yes,AO,VIC,2014-06-09,2014,Post,https://en.wikipedia.org/wiki/Alan_Finkel,12734018,1149949,2007-08-12,2014-06-09,2007,2014,Officer of the Order of Australia,The Queen's Birthday 2014 Honours List,G,"For distinguished service to science and engineering, and to tertiary education administration, as an advocate for the protection of children, and to philanthropy.","Australian neuroscientist, engineer, entrepreneur and philanthropist",1,2014-06-09,2014,2007,-2493,-7,2007-W32,2014-W24,-357,before Honours
Alan Gilbert Australian academic,M,Yes,AO,Other,2008-01-26,2008,Post,https://en.wikipedia.org/wiki/Alan_Gilbert_(Australian_academic),1033846,1137409,2004-10-02,2008-01-26,2004,2008,Officer of the Order of Australia,Australia Day 2008 Honours List,G,"For service to tertiary education, particularly in the area of administrative and funding reform at Melbourne University, to the promotion of electronic learning in developing countries, and to Australia's contribution to global developments in higher education and research.",Australian historian,1,2008-01-26,2008,2004,-1211,-4,2004-W40,2008-W04,-173,before Honours
Alan Goldberg judge,M,Yes,AO,VIC,2005-06-13,2005,Post,https://en.wikipedia.org/wiki/Alan_Goldberg_(judge),35325354,1135867,2012-04-05,2005-06-13,2012,2005,Officer of the Order of Australia,The Queen's Birthday 2005 Honours List,G,"For service to the judiciary, particularly in the areas of competition law and equity, and to the community as a contributor to debate on human rights and civil liberties and as a supporter of the arts.",Australian judge,1,2005-06-13,2005,2012,2488,7,2012-W14,2005-W24,355,on or after honours
Alan Joyce executive,M,Yes,AC,NSW,2017-06-12,2017,Post,https://en.wikipedia.org/wiki/Alan_Joyce_(executive),18628064,1769661,2008-07-29,2017-06-12,2008,2017,Companion of the Order of Australia,The Queen's Birthday 2017 Honours List,G,"For eminent service to the aviation transport industry, to the development of the national and international tourism sectors, to gender equity, inclusion and diversity, and to the community, particularly as a supporter of Indigenous education.",Irish-Australian airline executive,1,2017-06-12,2017,2008,-3240,-9,2008-W31,2017-W24,-463,before Honours
Alan Kohler,M,Yes,AM,VIC,2019-01-26,2019,Post,https://en.wikipedia.org/wiki/Alan_Kohler,1544248,2003152,2005-02-26,2019-01-26,2005,2019,Member of the Order of Australia,Australia Day 2019 Honours List,G,"For significant service to the print and broadcast media as an editor, journalist and finance commentator.",Australian journalist and editor,1,2019-01-26,2019,2005,-5082,-14,2005-W08,2019-W04,-726,before Honours
Alan Lopez,M,Yes,AC,QLD,2016-06-13,2016,Post,https://en.wikipedia.org/wiki/Alan_Lopez,44096552,1153652,2014-10-13,2016-06-13,2014,2016,Companion of the Order of Australia,The Queen's Birthday 2016 Honours List,G,"For eminent service to science, both nationally and internationally, as an academic, researcher and author, and to the advancement of planning and policy development to improve public health in developing countries.",Australian global and public health scholar and epidemiologist,1,2016-06-13,2016,2014,-609,-2,2014-W42,2016-W24,-87,before Honours
Alan Lucas,M,Yes,OAM,NSW,2015-01-26,2015,Post,https://en.wikipedia.org/wiki/Alan_Lucas,38848768,1151177,2013-03-19,2015-01-26,2013,2015,Medal of the Order of Australia,Australia Day 2015 Honours List,G,For service to the print media as an author of maritime publications.,Australian writer,1,2015-01-26,2015,2013,-678,-2,2013-W12,2015-W05,-97,before Honours
Alan Pears,M,Yes,AM,VIC,2009-06-08,2009,Post,https://en.wikipedia.org/wiki/Alan_Pears,36504218,1140875,2012-07-22,2009-06-08,2012,2009,Member of the Order of Australia,The Queen's Birthday 2009 Honours List,G,For service to the environment through the development of policy and design in the fields of energy efficiency and sustainability and through public awareness programs.,Australian environmental consultant,1,2009-06-08,2009,2012,1140,3,2012-W29,2009-W24,162,on or after honours
Alan Seymour,M,Yes,OAM,NSW,2007-06-11,2007,Post,https://en.wikipedia.org/wiki/Alan_Seymour,2775329,1135114,2005-09-27,2007-06-11,2005,2007,Medal of the Order of Australia,The Queen's Birthday 2007 Honours List,G,"For service to the arts as a playwright and writer of screenplays, television scripts and novel adaptations.",Australian playwright,1,2007-06-11,2007,2005,-622,-2,2005-W39,2007-W24,-89,before Honours
Alan Stockdale,M,Yes,AO,VIC,2016-06-13,2016,Post,https://en.wikipedia.org/wiki/Alan_Stockdale,9973616,1153706,2007-03-11,2016-06-13,2007,2016,Officer of the Order of Australia,The Queen's Birthday 2016 Honours List,G,"For distinguished service to the people and Parliament of Victoria as Treasurer, particularly through the implementation of fiscal policy and microeconomic reforms.",Australian politician,1,2016-06-13,2016,2007,-3382,-9,2007-W10,2016-W24,-484,before Honours
Alanna Nobbs,M,Yes,AM,NSW,2012-06-11,2012,Post,https://en.wikipedia.org/wiki/Alanna_Nobbs,34152717,1145914,2011-12-22,2012-06-11,2011,2012,Member of the Order of Australia,The Queen's Birthday 2012 Honours List,G,"For service to education in the fields of ancient history and the classics as an educator, and through leadership roles in professional organisations, particularly the Society for the Study of Early Christianity.",academic,1,2012-06-11,2012,2011,-172,-1,2011-W51,2012-W24,-25,before Honours
Alasdair Webster,M,Yes,OAM,NSW,2008-01-26,2008,Post,https://en.wikipedia.org/wiki/Alasdair_Webster,17569879,1137857,2008-05-23,2008-01-26,2008,2008,Medal of the Order of Australia,Australia Day 2008 Honours List,G,"For service to the Parliament of Australia, and to the community through Indigenous, educational and service organisations.",Australian politician,1,2008-01-26,2008,2008,118,0,2008-W21,2008-W04,16,on or after honours
Alastair MacLennan obstetrician,M,Yes,AO,SA,2011-01-26,2011,Post,https://en.wikipedia.org/wiki/Alastair_MacLennan_(obstetrician),52451385,1143418,2016-12-02,2011-01-26,2016,2011,Officer of the Order of Australia,Australia Day 2011 Honours List,G,"For distinguished service to medicine as a leading researcher and practitioner in the areas of obstetrics and gynaecology and the causes of cerebral palsy, to medical education, and to professional development.","Scottish-Australian doctor, professor of obstetrics and gynaecology, medical researcher, and a community health advocate",1,2011-01-26,2011,2016,2137,5,2016-W48,2011-W04,305,on or after honours
Albie Thomas,M,Yes,OAM,NSW,2013-06-10,2013,Post,https://en.wikipedia.org/wiki/Albie_Thomas,27029272,1148274,2010-04-20,2013-06-10,2010,2013,Medal of the Order of Australia,The Queen's Birthday 2013 Honours List,G,"For service to athletics as an athlete, administrator and promoter of charitable events, and to the community.",Australian athletics competitor,1,2013-06-10,2013,2010,-1147,-3,2010-W16,2013-W24,-164,before Honours
Alec Hill,M,Yes,AM,ACT,2006-01-26,2006,Post,https://en.wikipedia.org/wiki/Alec_Hill,25913426,1131399,2010-01-23,2006-01-26,2010,2006,Member of the Order of Australia,Australia Day 2006 Honours List,G,"For service to education in the field of Australian military history, to the Australian War Memorial as a writer and as a mentor to historians, and as a contributor to the Australian Dictionary of Biography.",Australian historian,1,2006-01-26,2006,2010,1458,4,2010-W03,2006-W04,208,on or after honours
Alec Ross tour guide,M,Yes,OAM,NT,2013-06-10,2013,Post,https://en.wikipedia.org/wiki/Alec_Ross_(tour_guide),54127492,1148224,2017-05-24,2013-06-10,2017,2013,Medal of the Order of Australia,The Queen's Birthday 2013 Honours List,G,For service to tourism in central Australia.,NA,1,2013-06-10,2013,2017,1444,4,2017-W21,2013-W24,206,on or after honours
Alex Chernov,M,Yes,AC,VIC,2007-06-11,2007,Post,https://en.wikipedia.org/wiki/Alex_Chernov,9804900,1145046,2007-03-02,2012-01-26,2007,2012,Companion of the Order of Australia,Australia Day 2012 Honours List,G,"For eminent service to the people of Victoria, to the advancement of higher education, particularly the development of academic and administrative programs at the University of Melbourne, through the establishment of the Australia India Institute, and to the judiciary.","Australian jurist, Supreme Court judge, Governor of Victoria",2,2007-06-11,2007,2007,-101,0,2007-W09,2007-W24,-15,before Honours
